0.0,-0.02,-0.18,48.04,150.15,47.65
-0.08,0.25,-0.02,-6.24,121.34,31.99
-0.01,0.33,-0.04,-5.83,65.4,3.8
0.0,0.18,-0.05,20.6,93.76,-32.2
-0.15,0.13,0.0,2.58,87.75,-67.17
-0.2,0.1,0.03,-12.84,26.78,-72.9
-0.17,0.03,-0.04,0.59,46.09,-43.01
-0.22,-0.08,-0.05,0.13,43.46,-5.31
-0.26,0.13,0.02,-10.21,19.66,43.01
-0.13,-0.05,0.0,0.59,7.57,103.74
0.07,-0.4,-0.14,58.53,5.24,123.27
0.02,0.03,-0.02,1.63,77.44,129.32
0.0,0.23,0.0,4.0,33.93,112.65
0.14,0.29,-0.04,49.45,42.18,48.89
0.1,0.24,-0.13,72.32,96.14,-46.89
0.0,0.16,-0.1,70.22,89.14,-125.22
0.06,-0.49,-0.33,98.38,115.05,-172.0
-0.12,0.0,-0.15,58.69,167.12,-125.93
-0.09,-0.03,-0.15,20.3,102.58,-43.55
0.01,0.11,-0.26,64.89,222.79,23.93
-0.1,0.21,-0.15,35.68,230.81,39.93
-0.05,0.34,-0.07,13.84,157.7,17.99
-0.05,0.3,-0.01,21.87,126.93,-30.21
-0.09,0.15,0.0,24.95,131.98,-91.15
-0.2,-0.02,0.0,15.62,121.55,-128.07
-0.25,0.06,-0.09,1.46,116.11,-89.6
-0.21,-0.18,-0.16,-12.33,129.9,-9.82
-0.28,-0.01,-0.07,-11.43,71.73,18.6
-0.19,0.09,-0.02,-27.38,32.15,50.0
-0.16,0.14,0.03,-14.05,-27.32,68.14
0.0,0.12,-0.06,5.65,-17.62,77.94
0.02,0.09,-0.13,23.97,27.78,64.46
-0.01,0.13,-0.12,5.18,53.55,51.76
-0.02,0.24,-0.08,-4.07,19.36,23.08
0.01,0.24,-0.06,4.08,14.11,-21.77
-0.01,0.11,-0.09,22.88,35.72,-76.44
-0.06,-0.11,-0.13,29.93,35.4,-101.05
-0.07,-0.19,-0.15,18.62,50.75,-83.4
-0.17,0.13,-0.01,-3.47,52.92,-52.51
-0.19,0.27,-0.01,-1.26,26.32,-24.61
