-1.38,-1.01,-0.63,-25.28,-269.41,284.19
-0.59,-0.28,-0.62,57.8,-272.81,284.36
-0.11,0.72,-0.15,87.12,-271.07,282.54
0.11,1.19,0.21,71.12,-271.08,282.55
0.53,0.79,-0.51,176.77,-271.08,209.76
1.01,0.98,-0.16,210.11,-129.37,223.7
1.26,1.04,-0.54,223.94,-113.63,191.7
2.24,0.41,-1.12,225.07,-152.35,172.85
2.05,0.29,-1.21,99.51,-36.43,-220.58
1.34,-0.09,-1.31,-154.13,65.8,-261.25
0.01,-0.1,-0.21,-317.98,62.13,-259.7
-0.02,-0.96,0.23,-318.5,-265.68,-259.7
0.61,0.76,1.54,-168.87,-86.78,-142.11
-0.73,0.3,2.03,-139.04,53.02,-1.6
-0.32,0.48,1.8,3.25,-47.22,-24.68
-0.57,0.56,1.3,28.07,10.8,45.76
-0.16,0.92,1.12,30.08,36.87,49.72
-0.15,0.92,0.9,24.95,18.64,40.12
-0.06,0.95,0.67,7.17,48.4,63.66
0.06,0.89,0.67,-29.73,119.6,62.19
-0.14,0.99,0.48,-78.23,149.66,3.7
-0.29,0.81,0.07,-80.19,195.05,-82.09
-0.64,0.47,-0.07,-66.18,118.56,-239.17
-0.77,-0.36,-0.23,-63.96,201.37,-259.71
-0.53,-0.59,0.03,-10.02,136.39,-232.26
-0.45,-0.5,-0.13,115.61,194.4,-201.71
-0.35,-0.12,-0.08,31.98,128.81,-149.1
-0.05,0.08,-0.19,-22.62,53.82,-4.37
0.0,0.1,-0.16,-17.84,67.58,80.81
0.0,0.12,-0.09,-34.92,108.99,76.41
0.03,0.06,-0.07,-46.36,68.56,54.45
0.04,0.04,0.07,-29.96,-45.19,12.92
0.15,0.06,0.05,-25.59,-53.42,6.28
0.1,0.04,0.02,-11.48,-21.71,8.61
0.05,0.13,-0.01,-4.09,-10.65,0.3
0.1,0.1,-0.06,-1.93,-24.44,-3.96
0.05,0.1,-0.03,-13.12,-0.88,6.33
0.05,0.09,-0.02,-7.73,-12.91,-0.16
0.04,0.1,-0.02,-8.27,-10.83,3.45
0.08,0.09,-0.02,-4.18,8.28,8.8
